,B_BGI_1,B_BGI_2,B_BGI_3,B_BGI_4,B_CNL_1,B_CNL_2,B_CNL_3,B_CNL_4,B_MAY_1,B_MAY_2,B_MAY_3,B_MAY_4
NM_130786,181,152,161,151,107,95,136,120,152,126,141,146
NM_014911,8209,8123,8072,8418,7896,7878,7948,7671,8380,8621,8699,8494
NM_001605,10555,10589,10375,10413,10293,10445,10083,10408,10046,10247,9996,9732
NM_001080395,3459,3289,2669,2712,1296,1574,696,952,2384,2356,2301,2502
NM_004920,4492,4495,4917,4526,4481,4124,4694,4842,5108,5078,4880,4765
NM_001606,30221,30393,29032,28074,23522,22485,22493,22103,28633,27095,26721,27616
NM_019112,1113,1074,1048,1039,843,838,877,845,998,1076,996,1008
NM_005688,2581,2496,2489,2563,2441,2497,2442,2419,2389,2412,2359,2336
NM_005164,731,724,744,742,744,722,708,651,818,803,882,813
NM_018358,2128,2083,2029,2108,2145,2258,2184,2247,2021,1996,1992,1905
NM_001142505,476,43,399,346,774,660,1213,1254,418,0,0,1
NM_022169,793,1206,828,858,400,620,7,16,748,1148,1171,1133
NM_001042472,3570,3439,3436,3408,3191,3246,3250,3319,3357,3344,3378,3286
NM_080622,87,87,91,94,55,54,51,62,79,96,102,112
NM_001130111,3006,3017,3027,3028,1597,1519,1537,1719,3001,3025,2895,3043
NM_031213,31,51,70,91,8,20,8,32,51,65,48,39
NM_024527,2611,2691,2609,2704,1620,1667,1498,1626,2488,2490,2421,2618
NM_005157,1786,1875,1814,1627,1439,1415,1391,1431,1622,1647,1526,1551
NM_014945,2855,2808,2740,2777,2896,2861,2785,2958,2718,2773,2780,2830
NM_001092,3104,2673,2923,2459,1577,1587,2346,2357,2244,2094,2087,2051
NM_021962,5523,6083,5676,5783,6905,6784,5900,6139,5798,6404,5753,6062
NM_000017,398,338,353,298,212,232,248,246,311,348,343,321
NM_000018,4538,4743,4766,4834,3740,4207,4271,4230,4266,4088,4311,4342
NM_001033859,533,583,586,473,1842,1729,1399,1472,630,792,594,382
NM_001270448,838,629,562,597,206,9,0,254,537,503,550,641
NM_012287,1401,1321,1424,1379,1476,1460,1556,1455,1630,1590,1568,1580
NM_030649,8175,8109,8017,7845,5359,5245,4945,5212,7633,7293,7203,7490
NM_001039844,1585,1673,1524,1595,2066,1992,2006,2078,1675,1633,1666,1651
NM_001082486,883,875,922,841,799,845,755,890,787,787,766,749
NM_000665,1275,1346,1201,1311,1063,1055,1006,1026,1239,1200,1171,1132
NM_001098,10540,10435,10241,10056,9082,9327,8717,9359,10318,9976,10059,10293
NM_006821,405,431,406,469,397,326,366,340,416,378,447,454
NM_007274,2050,2291,2449,2716,3842,3948,3851,3605,3652,3565,3463,3474
NM_181866,1636,1427,1302,929,15,55,15,74,57,0,79,69
NM_018677,1396,1272,1371,1281,1264,1384,1293,1175,1311,1478,1273,1449
NM_001613,1112,1156,1185,1093,1209,1158,1223,1258,1047,1188,1149,1178
NM_001101,70100,69172,67639,68552,63691,64943,62184,64391,66444,65386,65438,66175
NM_001199954,244,257,311,233,101,185,93,68,236,321,259,293
NM_016188,1785,1782,1614,1718,1830,1975,1870,1937,1646,1607,1606,1604
NM_004924,7498,7219,7120,6689,6085,6116,5766,6076,6833,6826,6580,6651
NM_005736,6576,6922,6641,6579,6776,6939,6612,6688,6337,6379,6325,6331
NM_005735,4466,4439,4368,4315,4372,4461,4363,4399,4004,3930,3943,3934
NM_005722,6041,6414,6562,6312,6245,6394,6189,6272,7156,7099,7298,7051
NM_005721,3307,3348,3175,3286,3249,3349,3411,3256,3293,3455,3367,3420
NR_048568,197,179,248,242,174,152,178,187,325,424,366,306
NM_004302,2489,2454,2536,2416,2631,2661,2485,2550,2523,2297,2585,2515
NM_000020,500,378,392,408,411,352,353,393,285,336,284,330
NM_030957,458,474,465,405,409,388,412,368,377,372,430,404
NM_139025,442,406,366,433,160,129,227,226,222,310,214,318
NM_139026,0,0,0,0,48,266,176,242,0,0,0,0
NM_139027,102,132,116,63,226,14,4,8,242,148,302,201
NM_014694,730,758,688,634,491,428,429,525,589,639,638,582
NM_006869,3620,3544,3432,3337,2899,3083,2729,2905,2975,3124,2854,3173
NM_001111,739,1216,709,943,1828,1968,1521,560,1576,821,1565,1825
NM_138422,42,41,51,39,41,16,19,32,64,48,45,49
NM_174922,361,315,281,297,219,235,192,215,249,289,261,277
NM_001199642,1039,505,178,164,781,516,773,691,0,0,0,0
NM_183357,2386,2766,3072,3007,2208,2639,2226,2474,3145,3181,3078,3109
NM_016824,2709,2483,2633,2677,2560,2319,2714,2354,2540,2644,2575,2746
NM_019903,3154,3178,2884,2528,3566,3603,3718,3443,2279,1877,1547,2073
NM_001290553,647,532,3,234,78,74,335,0,299,0,0,0
NM_015999,1472,1769,2139,1873,2071,2124,1904,2186,1792,2079,2078,2161
NM_006829,586,587,568,573,399,389,390,397,600,593,555,623
NM_001123,193,208,207,205,166,169,226,180,166,186,159,189
NM_006721,303,344,304,323,366,397,342,375,317,328,303,316
NM_032804,1687,1758,1811,1725,1765,1721,1776,1634,1858,1848,1725,1842
NM_000674,1023,1112,1142,1209,2188,2132,928,1913,1447,1194,964,1342
