,B_BGI_1,B_BGI_2,B_BGI_3,B_BGI_4,B_CNL_1,B_CNL_2,B_CNL_3,B_CNL_4,B_MAY_1,B_MAY_2,B_MAY_3,B_MAY_4
NM_130786,226,185,185,174,89,74,107,96,156,128,141,153
NM_014911,7942,7917,7971,8352,7981,7928,8063,7792,8456,8738,8835,8539
NM_001605,10340,10330,10037,10055,11027,11372,10714,11096,9652,9792,9584,9364
NM_001080395,4611,4375,3216,3367,942,1161,517,745,2685,2748,2536,2874
NM_004920,6586,6306,6528,5907,3031,2478,3095,3220,5676,5545,5233,5464
NM_001606,34910,34472,31382,30054,21298,20603,19942,20066,28045,25775,25280,27345
NM_019112,1355,1278,1186,1172,716,696,735,718,1018,1092,992,1051
NM_005688,2532,2442,2416,2489,2581,2671,2557,2558,2310,2328,2286,2266
NM_005164,672,657,728,719,744,714,716,659,864,854,943,846
NM_018358,2159,2084,1990,2056,2274,2453,2308,2386,1909,1875,1872,1814
NM_001142505,774,528,801,702,1221,1360,1281,1335,940,715,715,734
NM_022169,545,757,419,493,14,14,0,0,162,359,375,344
NM_001042472,3956,3734,3583,3562,3102,3198,3156,3223,3215,3190,3197,3192
NM_080622,139,133,128,132,34,29,30,38,90,109,112,134
NM_001130111,4869,4669,4255,4231,990,889,917,1066,3286,3312,3060,3511
NM_031213,56,88,115,155,6,13,6,23,71,88,64,58
NM_024527,3499,3499,3192,3287,1239,1240,1115,1242,2592,2598,2458,2826
NM_005157,1873,1942,1816,1609,1386,1371,1308,1376,1500,1515,1387,1453
NM_014945,2806,2754,2664,2696,3075,3081,2935,3122,2618,2663,2679,2734
NM_001092,5018,4681,5071,4550,8054,8250,8066,8201,5088,4944,4808,4351
NM_021962,4417,4872,4260,4410,2300,2114,1899,2075,3722,4300,3741,4434
NM_000017,464,387,386,325,188,206,218,220,313,349,338,328
NM_000018,4597,4814,4716,4662,0,0,0,0,3817,4028,3997,4267
NM_001033859,514,558,535,442,851,616,526,371,537,692,511,340
NM_001270448,916,651,600,627,14,0,0,17,466,451,478,597
NM_012287,1309,1227,1404,1354,1445,1414,1543,1451,1718,1689,1672,1642
NM_030649,10093,9759,9104,8900,4551,4399,4121,4407,7718,7323,7120,7757
NM_001039844,1496,1587,1498,1569,2091,1993,2041,2108,1679,1647,1692,1665
NM_001082486,1030,1000,1016,924,738,751,681,791,789,784,751,765
NM_000665,1586,1633,1394,1511,874,848,820,846,1280,1234,1173,1205
NM_001098,10623,10376,10046,9857,9654,10121,9219,9872,9760,9387,9459,9820
NM_006821,450,450,423,488,289,218,236,222,390,340,428,435
NM_007274,1592,1628,1475,1622,428,403,336,410,1335,1215,1293,1389
NM_181866,2520,2489,2497,2284,3042,3266,3122,2870,2296,2259,2145,2164
NM_018677,1183,1105,1289,1193,103,188,100,173,1211,1424,968,1402
NM_001613,1101,1134,1153,1062,1353,1323,1347,1393,1001,1120,1084,1138
NM_001101,74278,72907,69747,70263,65386,67302,62551,65907,66384,65470,65015,66592
NM_001199954,225,230,261,196,44,77,41,29,172,237,190,223
NM_016188,1857,1820,1609,1704,1903,2105,1935,2002,1559,1514,1509,1536
NM_004924,7886,7480,7285,6825,5926,6109,5633,5956,6713,6740,6493,6642
NM_005736,6536,6853,6487,6418,7124,7399,6893,7019,6104,6140,6115,6130
NM_005735,4670,4563,4368,4306,4453,4649,4425,4486,3828,3761,3772,3810
NM_005722,5587,5896,6330,6000,6142,6198,6091,6263,7343,7279,7512,7106
NM_005721,3102,3090,3154,3234,3168,3211,3349,3236,3516,3700,3622,3576
NR_048568,194,176,240,232,172,149,179,179,319,451,360,291
NM_004302,2363,2426,2485,2296,1250,1448,903,924,2342,1571,2034,2093
NM_000020,530,366,360,335,70,100,42,95,169,246,185,238
NM_030957,580,580,546,474,348,327,357,314,397,388,430,429
NM_139025,524,463,405,477,89,49,91,103,213,302,202,317
NM_139026,0,0,17,0,286,301,258,308,0,115,0,0
NM_139027,120,151,103,64,0,0,0,0,249,38,297,211
NM_014694,863,910,746,686,371,229,218,359,566,634,601,585
NM_006869,3356,3349,2383,2540,268,383,319,337,1210,1426,1084,1342
NM_001111,498,832,228,449,10,1,2,0,558,220,530,834
NM_138422,99,92,102,77,14,5,6,11,92,68,61,76
NM_174922,441,376,321,338,182,188,158,179,257,299,264,292
NM_001199642,1854,1507,1513,1449,2707,2920,2718,2822,1679,1711,1578,1520
NM_183357,1729,1901,1792,1773,304,297,280,348,1356,1352,1382,1519
NM_016824,2684,2499,2689,2792,2256,1981,2283,2083,2758,2897,2838,2813
NM_019903,2899,3152,3323,3207,3952,3875,4172,3818,3648,3713,3601,3497
NM_001290553,977,1028,752,996,1815,1792,1931,1691,1221,1144,1006,1100
NM_015999,1120,1251,1319,1049,370,381,260,450,818,850,962,1038
NM_006829,626,615,575,577,415,413,402,414,558,547,504,589
NM_001123,162,164,149,153,54,49,74,58,116,125,114,139
NM_006721,315,366,357,370,475,508,491,502,388,414,371,381
NM_032804,1855,1902,1959,1862,1541,1460,1561,1446,1965,1967,1816,1941
NM_000674,1068,1111,1085,1133,304,202,87,169,1202,940,723,1077
NM_001048230,1573,1475,1285,1244,2087,2376,2230,2411,982,1230,1387,1095
NM_000681,331,330,327,355,236,204,238,243,322,290,300,306
NM_000683,198,191,148,182,99,80,73,100,121,129,137,144
NM_001619,7334,6865,6685,6478,4904,5160,4858,4916,5930,5649,5512,5821
NM_005160,2380,2357,2520,2504,2962,2967,2953,2892,2571,2684,2663,2568
NM_007002,2238,2130,2067,2098,1197,1089,1236,1124,1712,1876,1738,1839
NM_001114176,0,0,0,0,0,0,0,0,0,0,0,0
NM_001130,24979,24116,22393,22422,19068,19615,18191,20058,19021,19158,18559,19712
NM_198969,725,655,822,738,366,252,458,306,879,662,778,735
NM_001122772,14793,14649,13815,13438,5574,5432,5318,5435,11811,12329,11945,12190
NM_014770,1678,1436,1188,1271,4910,5229,4799,5393,1701,1327,1130,1360
NM_001042535,8259,7918,7520,7509,3274,3330,3007,3187,6094,6043,5778,6165
NM_001281300,1284,1251,1190,1088,1104,993,945,973,1037,1044,1120,1188
NM_031946,1279,1255,1078,1191,1390,1456,1290,1469,1157,1069,1019,895
NM_024852,173,153,154,165,282,294,295,258,204,162,177,176
NM_006411_6,3442,3265,2710,2860,1554,1338,1341,1664,2437,2345,2287,2356
NM_032741_5,503,509,927,542,2229,2570,2260,2030,910,1035,1084,974
NM_006412,281,271,261,244,101,105,105,109,208,179,202,207
NM_020132,3630,5629,3574,3675,475,227,402,327,2514,3121,2216,2236
NM_198576,3604,3560,3254,3140,1234,1157,1166,1286,2734,2748,2548,2755
NM_000029,8227,8127,7567,7665,7443,7510,7123,7321,7130,6952,6800,7364
NM_001242673,70,76,90,60,140,132,115,113,84,65,95,108
NM_001130720,1949,1890,1958,1688,501,262,414,496,1769,1416,1258,1545
NM_001029882,3598,3372,3137,3144,1607,1625,1577,1642,2930,2843,2682,3026
NM_003977,1839,1878,1683,1762,1371,1385,1255,1361,1508,1542,1516,1511
NM_016282,1442,1275,1198,1086,774,747,852,684,1218,1193,1156,1108
NM_016248,8316,8249,9217,9146,10101,9775,9996,9734,10756,10815,10847,10312
NM_005100,7521,7423,7293,6739,5384,4584,3885,3611,6575,6280,7087,7272
NM_144497,1912,2135,2212,2853,4451,5400,5930,6032,3339,3690,3050,2953
NM_001136562,1159,1140,1058,1347,1416,1152,1183,1350,1222,1188,1131,1184
NM_004857,910,886,935,957,1068,1027,1104,1059,1155,1083,1127,1124
NM_004274,6371,6587,6662,6630,6513,6449,6587,6324,7052,7193,7396,7156
NM_014371,2286,2143,2062,2201,2249,2298,2205,2280,1894,1899,2013,2067
NR_111971,982,1022,961,910,401,429,370,445,836,862,787,900
NM_018064,1756,1686,1698,1710,1299,1305,1260,1256,1603,1700,1584,1670
NM_001628,2608,2530,2552,2541,2706,2925,2661,2694,2260,2199,2148,2259
NM_000690,6960,6972,6616,6704,4941,4975,5010,4370,6531,6445,6363,6380
NM_001204889,43,0,24,29,2109,1987,1981,2412,50,59,31,49
NM_001161504,804,356,325,563,1251,1520,1382,1411,358,210,260,396
NM_003748,953,1335,1289,1073,159,79,71,97,1189,1304,1161,1141
NM_000034,950,975,967,988,947,981,920,961,957,843,986,775
NM_184041,31117,29832,28112,27465,20959,22139,18014,20558,25494,24340,23783,24746
NM_184043,7716,7911,7250,7269,9723,11552,11141,10909,6885,7063,6612,7187
NM_005165,33876,32778,32273,31532,35799,37777,34833,36613,29219,28554,28371,29276
NM_017621,542,551,552,537,410,423,425,443,455,452,426,469
NM_017758,5079,4949,4583,4615,4015,3913,3729,4071,4193,4203,4104,4351
NM_032306,1199,1083,1031,1041,386,323,367,403,811,829,725,797
NM_001634,3349,3788,3590,3728,4402,4161,4356,4164,4100,3932,4167,4004
NM_015944,349,362,343,329,116,120,130,140,257,271,267,252
NM_152704,4185,3985,4181,3943,2387,2566,1960,2533,3181,3499,3248,3702
